GEOID,NAME,citizen,total_pop,citizenship_perc,non_citizenship_perc
06037137504,"Census Tract 1375.04, Los Angeles County, California",48,48,100,0
06037138000,"Census Tract 1380, Los Angeles County, California",204,218,93.58,6.420000000000002
06037139001,"Census Tract 1390.01, Los Angeles County, California",293,343,85.42,14.579999999999998
06037139200,"Census Tract 1392, Los Angeles County, California",571,612,93.3,6.700000000000003
06037139301,"Census Tract 1393.01, Los Angeles County, California",478,514,93,7
06037139302,"Census Tract 1393.02, Los Angeles County, California",278,484,57.44,42.56
06037139303,"Census Tract 1393.03, Los Angeles County, California",157,196,80.1,19.900000000000006
06037139401,"Census Tract 1394.01, Los Angeles County, California",57,59,96.61,3.3900000000000006
06037139402,"Census Tract 1394.02, Los Angeles County, California",63,63,100,0
06037139502,"Census Tract 1395.02, Los Angeles County, California",145,163,88.96,11.040000000000006
06037139504,"Census Tract 1395.04, Los Angeles County, California",122,280,43.57,56.43
06037139505,"Census Tract 1395.05, Los Angeles County, California",133,157,84.71,15.290000000000006
06037139506,"Census Tract 1395.06, Los Angeles County, California",119,143,83.22,16.78
06037139600,"Census Tract 1396, Los Angeles County, California",572,598,95.65,4.349999999999994
06037139701,"Census Tract 1397.01, Los Angeles County, California",352,352,100,0
06037139703,"Census Tract 1397.03, Los Angeles County, California",148,158,93.67,6.329999999999998
06037139704,"Census Tract 1397.04, Los Angeles County, California",26,32,81.25,18.75
06037139705,"Census Tract 1397.05, Los Angeles County, California",186,248,75,25
06037139801,"Census Tract 1398.01, Los Angeles County, California",80,91,87.91,12.090000000000003
06037139802,"Census Tract 1398.02, Los Angeles County, California",309,397,77.83,22.17
06037141101,"Census Tract 1411.01, Los Angeles County, California",101,168,60.12,39.88
06037141102,"Census Tract 1411.02, Los Angeles County, California",136,147,92.52,7.480000000000004
06037141201,"Census Tract 1412.01, Los Angeles County, California",160,197,81.22,18.78
06037141202,"Census Tract 1412.02, Los Angeles County, California",138,173,79.77,20.230000000000004
06037141303,"Census Tract 1413.03, Los Angeles County, California",206,250,82.4,17.599999999999994
06037141304,"Census Tract 1413.04, Los Angeles County, California",124,126,98.41,1.5900000000000034
06037141305,"Census Tract 1413.05, Los Angeles County, California",123,123,100,0
06037141306,"Census Tract 1413.06, Los Angeles County, California",144,212,67.92,32.08
06037141400,"Census Tract 1414, Los Angeles County, California",340,426,79.81,20.189999999999998
06037141500,"Census Tract 1415, Los Angeles County, California",201,216,93.06,6.939999999999998
06037141600,"Census Tract 1416, Los Angeles County, California",404,414,97.58,2.4200000000000017
06037141700,"Census Tract 1417, Los Angeles County, California",155,177,87.57,12.430000000000007
06037143101,"Census Tract 1431.01, Los Angeles County, California",188,188,100,0
06037143102,"Census Tract 1431.02, Los Angeles County, California",198,212,93.4,6.599999999999994
06037143200,"Census Tract 1432, Los Angeles County, California",492,492,100,0
06037143301,"Census Tract 1433.01, Los Angeles County, California",170,266,63.91,36.09
06037143302,"Census Tract 1433.02, Los Angeles County, California",234,276,84.78,15.219999999999999
06037143401,"Census Tract 1434.01, Los Angeles County, California",349,419,83.29,16.709999999999994
06037143402,"Census Tract 1434.02, Los Angeles County, California",22,22,100,0
06037143500,"Census Tract 1435, Los Angeles County, California",117,117,100,0
06037143602,"Census Tract 1436.02, Los Angeles County, California",551,605,91.07,8.930000000000007
06037143603,"Census Tract 1436.03, Los Angeles County, California",191,233,81.97,18.03
06037143605,"Census Tract 1436.05, Los Angeles County, California",100,276,36.23,63.77
06037143606,"Census Tract 1436.06, Los Angeles County, California",89,233,38.2,61.8
06037143700,"Census Tract 1437, Los Angeles County, California",137,188,72.87,27.129999999999995
06037143801,"Census Tract 1438.01, Los Angeles County, California",312,351,88.89,11.11
06037143802,"Census Tract 1438.02, Los Angeles County, California",203,203,100,0
06037143901,"Census Tract 1439.01, Los Angeles County, California",140,182,76.92,23.08
06037143902,"Census Tract 1439.02, Los Angeles County, California",213,260,81.92,18.08
06037181000,"Census Tract 1810, Los Angeles County, California",1205,1472,81.86,18.14
06037181300,"Census Tract 1813, Los Angeles County, California",901,1059,85.08,14.920000000000002
06037181400,"Census Tract 1814, Los Angeles County, California",1212,1629,74.4,25.599999999999994
06037181500,"Census Tract 1815, Los Angeles County, California",955,1130,84.51,15.489999999999995
06037181600,"Census Tract 1816, Los Angeles County, California",849,1083,78.39,21.61
06037183101,"Census Tract 1831.01, Los Angeles County, California",153,187,81.82,18.180000000000007
06037183103,"Census Tract 1831.03, Los Angeles County, California",286,336,85.12,14.879999999999995
06037183104,"Census Tract 1831.04, Los Angeles County, California",319,338,94.38,5.6200000000000045
06037183220,"Census Tract 1832.20, Los Angeles County, California",444,566,78.45,21.549999999999997
06037183221,"Census Tract 1832.21, Los Angeles County, California",335,408,82.11,17.89
06037183222,"Census Tract 1832.22, Los Angeles County, California",442,633,69.83,30.17
06037183300,"Census Tract 1833, Los Angeles County, California",454,600,75.67,24.33
06037183401,"Census Tract 1834.01, Los Angeles County, California",361,579,62.35,37.65
06037183402,"Census Tract 1834.02, Los Angeles County, California",642,804,79.85,20.150000000000006
06037183510,"Census Tract 1835.10, Los Angeles County, California",218,262,83.21,16.790000000000006
06037183520,"Census Tract 1835.20, Los Angeles County, California",102,102,100,0
06037183610,"Census Tract 1836.10, Los Angeles County, California",258,294,87.76,12.239999999999995
06037183620,"Census Tract 1836.20, Los Angeles County, California",177,184,96.2,3.799999999999997
06037183701,"Census Tract 1837.01, Los Angeles County, California",289,359,80.5,19.5
06037183702,"Census Tract 1837.02, Los Angeles County, California",476,503,94.63,5.3700000000000045
06037183810,"Census Tract 1838.10, Los Angeles County, California",89,101,88.12,11.879999999999995
06037183820,"Census Tract 1838.20, Los Angeles County, California",213,306,69.61,30.39
06037185101,"Census Tract 1851.01, Los Angeles County, California",241,348,69.25,30.75
06037185102,"Census Tract 1851.02, Los Angeles County, California",141,152,92.76,7.239999999999995
06037185202,"Census Tract 1852.02, Los Angeles County, California",318,349,91.12,8.879999999999995
06037185203,"Census Tract 1852.03, Los Angeles County, California",209,233,89.7,10.299999999999997
06037185204,"Census Tract 1852.04, Los Angeles County, California",446,473,94.29,5.709999999999994
06037185310,"Census Tract 1853.10, Los Angeles County, California",177,210,84.29,15.709999999999994
06037185320,"Census Tract 1853.20, Los Angeles County, California",47,95,49.47,50.53
06037186100,"Census Tract 1861, Los Angeles County, California",1138,1390,81.87,18.129999999999995
06037186201,"Census Tract 1862.01, Los Angeles County, California",952,1218,78.16,21.840000000000003
06037186202,"Census Tract 1862.02, Los Angeles County, California",425,589,72.16,27.840000000000003
06037186203,"Census Tract 1862.03, Los Angeles County, California",282,358,78.77,21.230000000000004
06037186301,"Census Tract 1863.01, Los Angeles County, California",101,220,45.91,54.09
06037186302,"Census Tract 1863.02, Los Angeles County, California",735,902,81.49,18.510000000000005
06037186401,"Census Tract 1864.01, Los Angeles County, California",365,398,91.71,8.290000000000006
06037186403,"Census Tract 1864.03, Los Angeles County, California",448,574,78.05,21.950000000000003
06037186404,"Census Tract 1864.04, Los Angeles County, California",301,420,71.67,28.33
06037187101,"Census Tract 1871.01, Los Angeles County, California",782,947,82.58,17.42
06037187102,"Census Tract 1871.02, Los Angeles County, California",900,1030,87.38,12.620000000000005
06037187200,"Census Tract 1872, Los Angeles County, California",458,480,95.42,4.579999999999998
06037187300,"Census Tract 1873, Los Angeles County, California",502,536,93.66,6.340000000000003
06037188100,"Census Tract 1881, Los Angeles County, California",320,354,90.4,9.599999999999994
06037188201,"Census Tract 1882.01, Los Angeles County, California",287,374,76.74,23.260000000000005
06037188202,"Census Tract 1882.02, Los Angeles County, California",486,517,94,6
06037188300,"Census Tract 1883, Los Angeles County, California",880,948,92.83,7.170000000000002
06037189101,"Census Tract 1891.01, Los Angeles County, California",437,525,83.24,16.760000000000005
06037189102,"Census Tract 1891.02, Los Angeles County, California",440,479,91.86,8.14
06037189201,"Census Tract 1892.01, Los Angeles County, California",202,271,74.54,25.459999999999994
06037189202,"Census Tract 1892.02, Los Angeles County, California",250,295,84.75,15.25
06037189300,"Census Tract 1893, Los Angeles County, California",406,440,92.27,7.730000000000004
06037189400,"Census Tract 1894, Los Angeles County, California",141,167,84.43,15.569999999999993
06037189501,"Census Tract 1895.01, Los Angeles County, California",95,127,74.8,25.200000000000003
06037189502,"Census Tract 1895.02, Los Angeles County, California",185,204,90.69,9.310000000000002
06037189600,"Census Tract 1896, Los Angeles County, California",255,346,73.7,26.299999999999997
06037189702,"Census Tract 1897.02, Los Angeles County, California",51,51,100,0
06037189703,"Census Tract 1897.03, Los Angeles County, California",69,132,52.27,47.73
06037189704,"Census Tract 1897.04, Los Angeles County, California",66,77,85.71,14.290000000000006
06037189801,"Census Tract 1898.01, Los Angeles County, California",39,39,100,0
06037189802,"Census Tract 1898.02, Los Angeles County, California",54,71,76.06,23.939999999999998
06037189903,"Census Tract 1899.03, Los Angeles County, California",194,208,93.27,6.730000000000004
06037189904,"Census Tract 1899.04, Los Angeles County, California",77,122,63.11,36.89
06037189905,"Census Tract 1899.05, Los Angeles County, California",57,85,67.06,32.94
06037189906,"Census Tract 1899.06, Los Angeles County, California",240,343,69.97,30.03
06037189907,"Census Tract 1899.07, Los Angeles County, California",197,270,72.96,27.040000000000006
06037190101,"Census Tract 1901.01, Los Angeles County, California",66,181,36.46,63.54
06037190102,"Census Tract 1901.02, Los Angeles County, California",109,240,45.42,54.58
06037190201,"Census Tract 1902.01, Los Angeles County, California",74,159,46.54,53.46
06037190202,"Census Tract 1902.02, Los Angeles County, California",199,322,61.8,38.2
06037190302,"Census Tract 1903.02, Los Angeles County, California",364,433,84.06,15.939999999999998
06037190303,"Census Tract 1903.03, Los Angeles County, California",176,201,87.56,12.439999999999998
06037190401,"Census Tract 1904.01, Los Angeles County, California",230,304,75.66,24.340000000000003
06037190402,"Census Tract 1904.02, Los Angeles County, California",200,345,57.97,42.03
06037190510,"Census Tract 1905.10, Los Angeles County, California",414,640,64.69,35.31
06037190520,"Census Tract 1905.20, Los Angeles County, California",333,722,46.12,53.88
06037190701,"Census Tract 1907.01, Los Angeles County, California",181,372,48.66,51.34
06037190702,"Census Tract 1907.02, Los Angeles County, California",86,86,100,0
06037190801,"Census Tract 1908.01, Los Angeles County, California",135,180,75,25
06037190802,"Census Tract 1908.02, Los Angeles County, California",174,255,68.24,31.760000000000005
06037190901,"Census Tract 1909.01, Los Angeles County, California",86,180,47.78,52.22
06037190902,"Census Tract 1909.02, Los Angeles County, California",108,108,100,0
06037191000,"Census Tract 1910, Los Angeles County, California",510,783,65.13,34.870000000000005
06037191110,"Census Tract 1911.10, Los Angeles County, California",256,347,73.78,26.22
06037191120,"Census Tract 1911.20, Los Angeles County, California",409,543,75.32,24.680000000000007
06037191201,"Census Tract 1912.01, Los Angeles County, California",285,518,55.02,44.98
06037191203,"Census Tract 1912.03, Los Angeles County, California",299,561,53.3,46.7
06037191204,"Census Tract 1912.04, Los Angeles County, California",244,301,81.06,18.939999999999998
06037191301,"Census Tract 1913.01, Los Angeles County, California",492,575,85.57,14.430000000000007
06037191302,"Census Tract 1913.02, Los Angeles County, California",298,404,73.76,26.239999999999995
06037191410,"Census Tract 1914.10, Los Angeles County, California",383,452,84.73,15.269999999999996
06037191420,"Census Tract 1914.20, Los Angeles County, California",223,340,65.59,34.41
06037191500,"Census Tract 1915, Los Angeles County, California",717,955,75.08,24.92
06037191610,"Census Tract 1916.10, Los Angeles County, California",450,598,75.25,24.75
06037191620,"Census Tract 1916.20, Los Angeles County, California",361,653,55.28,44.72
06037191710,"Census Tract 1917.10, Los Angeles County, California",139,156,89.1,10.900000000000006
