"","STATE","STNAME","AGEGRP","RACE","ESTIM","MR","NUM_DIFF","EOC","COVERAGE"
"214",4,"Arizona",18,"A_AIC",1562,1116,-446,-33.31,"undercount"
"215",4,"Arizona",18,"NHPI_A",57,35,-22,-47.83,"undercount"
"216",4,"Arizona",18,"NHPI_AIC",96,64,-32,-40,"undercount"
"217",5,"Arkansas",1,"A_A",3133,2785,-348,-11.76,"undercount"
"218",5,"Arkansas",1,"A_AIC",4531,4263,-268,-6.1,"undercount"
"219",5,"Arkansas",1,"NHPI_A",375,1028,653,93.09,"overcount"
"220",5,"Arkansas",1,"NHPI_AIC",635,1261,626,66.03,"overcount"
"221",5,"Arkansas",2,"A_A",2896,2833,-63,-2.2,"undercount"
"222",5,"Arkansas",2,"A_AIC",4538,4031,-507,-11.83,"undercount"
"223",5,"Arkansas",2,"NHPI_A",359,815,456,77.68,"overcount"
"224",5,"Arkansas",2,"NHPI_AIC",654,1011,357,42.88,"overcount"
"225",5,"Arkansas",3,"A_A",2099,2428,329,14.54,"overcount"
"226",5,"Arkansas",3,"A_AIC",3141,3341,200,6.17,"overcount"
"227",5,"Arkansas",3,"NHPI_A",330,612,282,59.87,"overcount"
"228",5,"Arkansas",3,"NHPI_AIC",509,761,252,39.69,"overcount"
"229",5,"Arkansas",4,"A_A",2161,2708,547,22.47,"overcount"
"230",5,"Arkansas",4,"A_AIC",3005,3529,524,16.04,"overcount"
"231",5,"Arkansas",4,"NHPI_A",256,503,247,65.09,"overcount"
"232",5,"Arkansas",4,"NHPI_AIC",505,639,134,23.43,"overcount"
"233",5,"Arkansas",5,"A_A",2291,3453,1162,40.46,"overcount"
"234",5,"Arkansas",5,"A_AIC",3025,4314,1289,35.13,"overcount"
"235",5,"Arkansas",5,"NHPI_A",380,685,305,57.28,"overcount"
"236",5,"Arkansas",5,"NHPI_AIC",584,921,337,44.78,"overcount"
"237",5,"Arkansas",6,"A_A",3046,3871,825,23.85,"overcount"
"238",5,"Arkansas",6,"A_AIC",3647,4409,762,18.92,"overcount"
"239",5,"Arkansas",6,"NHPI_A",449,737,288,48.57,"overcount"
"240",5,"Arkansas",6,"NHPI_AIC",615,844,229,31.39,"overcount"
"241",5,"Arkansas",7,"A_A",3226,3622,396,11.57,"overcount"
"242",5,"Arkansas",7,"A_AIC",3765,4124,359,9.1,"overcount"
"243",5,"Arkansas",7,"NHPI_A",455,766,311,50.94,"overcount"
"244",5,"Arkansas",7,"NHPI_AIC",627,851,224,30.31,"overcount"
"245",5,"Arkansas",8,"A_A",3294,3322,28,0.85,"overcount"
"246",5,"Arkansas",8,"A_AIC",3627,3672,45,1.23,"overcount"
"247",5,"Arkansas",8,"NHPI_A",343,457,114,28.5,"overcount"
"248",5,"Arkansas",8,"NHPI_AIC",430,527,97,20.27,"overcount"
"249",5,"Arkansas",9,"A_A",2793,2789,-4,-0.14,"undercount"
"250",5,"Arkansas",9,"A_AIC",3076,2937,-139,-4.62,"undercount"
