"","STNAME","CTYNAME","RACE","MR"
"191","AL","Crenshaw County","NHPI_AIC",2
"192","AL","Crenshaw County","NHPI_A",1
"193","AL","Cullman County","A_AIC",227
"194","AL","Cullman County","A_A",144
"195","AL","Cullman County","NHPI_AIC",43
"196","AL","Cullman County","NHPI_A",27
"197","AL","Dale County","A_AIC",806
"198","AL","Dale County","A_A",556
"199","AL","Dale County","NHPI_AIC",147
"200","AL","Dale County","NHPI_A",82
"201","AL","Dallas County","A_AIC",201
"202","AL","Dallas County","A_A",162
"203","AL","Dallas County","NHPI_AIC",36
"204","AL","Dallas County","NHPI_A",5
"205","AL","DeKalb County","A_AIC",180
"206","AL","DeKalb County","A_A",130
"207","AL","DeKalb County","NHPI_AIC",56
"208","AL","DeKalb County","NHPI_A",39
"209","AL","Elmore County","A_AIC",366
"210","AL","Elmore County","A_A",243
"211","AL","Elmore County","NHPI_AIC",40
"212","AL","Elmore County","NHPI_A",23
"213","AL","Escambia County","A_AIC",140
"214","AL","Escambia County","A_A",98
"215","AL","Escambia County","NHPI_AIC",16
"216","AL","Escambia County","NHPI_A",10
"217","AL","Etowah County","A_AIC",571
"218","AL","Etowah County","A_A",445
"219","AL","Etowah County","NHPI_AIC",82
"220","AL","Etowah County","NHPI_A",49
"221","AL","Fayette County","A_AIC",37
"222","AL","Fayette County","A_A",29
"223","AL","Fayette County","NHPI_AIC",2
"224","AL","Fayette County","NHPI_A",2
"225","AL","Franklin County","A_AIC",64
"226","AL","Franklin County","A_A",42
"227","AL","Franklin County","NHPI_AIC",56
"228","AL","Franklin County","NHPI_A",49
"229","AL","Geneva County","A_AIC",53
"230","AL","Geneva County","A_A",33
"231","AL","Geneva County","NHPI_AIC",13
"232","AL","Geneva County","NHPI_A",6
"233","AL","Greene County","A_AIC",17
"234","AL","Greene County","A_A",10
"235","AL","Greene County","NHPI_AIC",1
"236","AL","Greene County","NHPI_A",0
"237","AL","Hale County","A_AIC",47
"238","AL","Hale County","A_A",27
"239","AL","Hale County","NHPI_AIC",11
"240","AL","Hale County","NHPI_A",4
"241","AL","Henry County","A_AIC",34
"242","AL","Henry County","A_A",10
"243","AL","Henry County","NHPI_AIC",5
"244","AL","Henry County","NHPI_A",4
"245","AL","Houston County","A_AIC",689
"246","AL","Houston County","A_A",560
"247","AL","Houston County","NHPI_AIC",51
